date,TSLA,earnings flag
2016-09-09,-0.5779991149902344,0
2016-09-12,0.7659988403320312,1
2016-09-13,-0.4500007629394531,0
2016-09-14,0.07200241088867188,1
2016-09-15,0.8019981384277344,1
2016-09-16,0.996002197265625,1
2016-09-19,0.18799972534179688,1
2016-09-20,-0.3400001525878906,0
2016-09-21,0.115997314453125,1
2016-09-22,0.24200057983398438,1
2016-09-23,0.20400238037109375,1
2016-09-26,0.3079986572265625,1
2016-09-27,-0.6360015869140625,0
2016-09-28,0.09200286865234375,1
2016-09-29,-1.1140022277832031,0
2016-09-30,0.6660003662109375,1
2016-10-03,1.9340019226074219,1
2016-10-04,-0.45800018310546875,0
2016-10-05,-0.5900001525878906,0
2016-10-06,-1.4920005798339844,0
2016-10-07,-0.8780021667480469,0
2016-10-10,0.8680000305175781,1
2016-10-11,-0.1699981689453125,0
2016-10-12,0.2819976806640625,1
2016-10-13,-0.253997802734375,0
2016-10-14,-0.746002197265625,0
2016-10-17,-0.5099983215332031,0
2016-10-18,1.0279998779296875,1
2016-10-19,0.8920021057128906,1
2016-10-20,-0.8920021057128906,0
2016-10-21,0.19800186157226562,1
2016-10-24,0.53399658203125,1
2016-10-25,-0.0839996337890625,0
2016-10-26,-0.01999664306640625,0
2016-10-27,0.35399627685546875,1
2016-10-28,-0.8079986572265625,0
2016-10-31,-0.447998046875,0
2016-11-01,-1.38800048828125,0
2016-11-02,-0.5540008544921875,0
2016-11-03,-0.11999893188476562,0
2016-11-04,0.6279983520507812,1
2016-11-07,0.529998779296875,1
2016-11-08,0.34600067138671875,1
2016-11-09,-0.9759979248046875,0
2016-11-10,-0.9420013427734375,0
2016-11-11,0.6420021057128906,1
2016-11-14,-1.4220008850097656,0
2016-11-15,0.4640007019042969,1
2016-11-16,0.0319976806640625,1
2016-11-17,0.9459991455078125,1
2016-11-18,-0.727996826171875,0
2016-11-21,-0.10000228881835938,0
2016-11-22,1.3300018310546875,1
2016-11-23,0.3939971923828125,1
2016-11-25,0.7020034790039062,1
2016-11-28,-0.1060028076171875,0
2016-11-29,-1.30999755859375,0
2016-11-30,-0.034000396728515625,0
2016-12-01,-1.5040016174316406,0
2016-12-02,-0.082000732421875,0
2016-12-05,1.0660018920898438,1
2016-12-06,-0.19000244140625,0
2016-12-07,1.4600028991699219,1
2016-12-08,-0.17200088500976562,0
2016-12-09,-0.021999359130859375,0
2016-12-12,0.049999237060546875,1
2016-12-13,1.1440010070800781,1
2016-12-14,0.10799789428710938,1
2016-12-15,-0.2220001220703125,0
2016-12-16,0.9820022583007812,1
2016-12-19,0.048000335693359375,1
2016-12-20,1.2119979858398438,1
2016-12-21,-0.21799850463867188,0
2016-12-22,0.14999771118164062,1
2016-12-23,0.9780006408691406,1
2016-12-27,1.2379989624023438,1
2016-12-28,0.042003631591796875,1
2016-12-29,-1.0120010375976562,0
2016-12-30,-0.19800186157226562,0
2017-01-03,0.6599998474121094,1
2017-01-04,2.0,1
2017-01-05,-0.048000335693359375,0
2017-01-06,0.4519996643066406,1
2017-01-09,0.45400238037109375,1
2017-01-10,-0.2820014953613281,0
2017-01-11,-0.0279998779296875,0
2017-01-12,-0.0279998779296875,0
2017-01-13,1.6319999694824219,1
2017-01-17,-0.43399810791015625,0
2017-01-18,0.555999755859375,1
2017-01-19,1.0799980163574219,1
2017-01-20,0.194000244140625,1
2017-01-23,0.8380012512207031,1
2017-01-24,1.13800048828125,1
2017-01-25,-0.0279998779296875,0
2017-01-26,-0.3920021057128906,0
2017-01-27,0.08800125122070312,1
2017-01-30,-0.4640007019042969,0
2017-01-31,0.26000213623046875,1
2017-02-01,-0.5380020141601562,0
2017-02-02,0.4620018005371094,1
2017-02-03,-0.044002532958984375,0
2017-02-06,1.2880020141601562,1
2017-02-07,-0.058002471923828125,0
2017-02-08,0.9200019836425781,1
2017-02-09,1.4239997863769531,1
2017-02-10,0.006000518798828125,1
2017-02-13,2.273998260498047,1
2017-02-14,0.07600021362304688,1
2017-02-15,-0.24399948120117188,0
